date,cancel_public_events,school_closing,restrictions_on_gathering,close_public_transport,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt/contract_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,protection_of_elderly_people,total_cases,new_cases,total_deaths,new_deaths,workplace_closing,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2021-12-19,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34746838.0,13644.0,477554.0,396.0,2.0,1376428862.0,828319595.0,548109267.0,0.0
2021-12-20,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34752164.0,5326.0,478007.0,453.0,2.0,1380223188.0,829219869.0,551003319.0,0.0
2021-12-21,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34758481.0,6317.0,478325.0,318.0,2.0,1388521671.0,831142523.0,557379148.0,0.0
2021-12-22,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34765976.0,7495.0,478759.0,434.0,2.0,1391050278.0,831763875.0,559286403.0,0.0
2021-12-23,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34772626.0,6650.0,479133.0,374.0,2.0,1398221289.0,833265701.0,564955588.0,0.0
2021-12-24,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34779815.0,7189.0,479520.0,387.0,2.0,1404556570.0,834737784.0,569818786.0,0.0
2021-12-25,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34786802.0,6987.0,479682.0,162.0,2.0,1413981791.0,837078735.0,576903056.0,0.0
2021-12-26,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34793333.0,6531.0,479997.0,315.0,2.0,1414731603.0,837294288.0,577437315.0,0.0
2021-12-27,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34799691.0,6358.0,480290.0,293.0,2.0,1418447119.0,838318164.0,580128955.0,0.0
2021-12-28,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34808886.0,9195.0,480592.0,302.0,2.0,1426069774.0,840095473.0,585974301.0,0.0
2021-12-29,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34822040.0,13154.0,480860.0,268.0,2.0,1435195841.0,842315450.0,592880391.0,0.0
2021-12-30,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34838804.0,16764.0,481080.0,220.0,2.0,1438717497.0,843220793.0,595496704.0,0.0
2021-12-31,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34861579.0,22775.0,481486.0,406.0,3.0,1448865422.0,845640601.0,603224821.0,0.0
2022-01-01,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34889132.0,27553.0,481770.0,284.0,3.0,1454069802.0,846975771.0,607094031.0,0.0
2022-01-02,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34922882.0,33750.0,481893.0,123.0,3.0,1456586234.0,847665306.0,608920928.0,0.0
2022-01-03,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,34960261.0,37379.0,482017.0,124.0,3.0,1464526170.0,852570971.0,611955199.0,0.0
2022-01-04,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,35018358.0,58097.0,482551.0,534.0,3.0,1472330269.0,857788520.0,614541749.0,0.0
2022-01-05,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,35109286.0,90928.0,482876.0,325.0,3.0,1482203963.0,864466425.0,617737538.0,0.0
2022-01-06,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,35226386.0,117100.0,483178.0,302.0,3.0,1491991022.0,871088714.0,620902308.0,0.0
2022-01-07,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,35368372.0,141986.0,483463.0,285.0,3.0,1505591911.0,879625063.0,625966848.0,0.0
2022-01-08,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,35528004.0,159632.0,483790.0,327.0,3.0,1508007415.0,880930714.0,627076701.0,0.0
